"file","issueId","status","reason","rule","category","title","author","date","preview","firstLines"
"G:\我的雲端硬碟\氣機導引\電子報新版網頁\各期電子報\202107\2107-1編輯小語.docx","202107","review","needs-confirmation","legacy-heading-suggestion","編輯小語","藉疫煉心","編輯部","2021.07.10","從5月15進入疫情三級警戒至今，疫情的變化加上越理越亂的社會氛圍，真是試煉人心的大鍋爐啊。訊息滿天飛，真假難辨。互相對立的意識形態，水火難容。我們的心整天泡在這裡面，怎麼安住？是不是就捂耳矇眼、不聽不看，宅在家裡焚香練功，君子以蹇德避難呢？可是張老師提醒大家，隨時隨地「眼裡心裡，都要看到世間萬物」！練功是為了入世而非避世，如果在這種人心震盪的時候，我們不能深體人心而反照己心，那過去練的功，不都打水漂了嗎？","System.Object[]"
"G:\我的雲端硬碟\氣機導引\電子報新版網頁\各期電子報\202107\Gmail\2107-00目錄.docx","202107","review","unsupported-legacy-structure",,,,,,,"System.Object[]"
"G:\我的雲端硬碟\氣機導引\電子報新版網頁\各期電子報\202107\Gmail\2107-5體證道德經.docx","202107","review","needs-confirmation","legacy-heading-suggestion","體證道德經","夫為不盈，故能蔽而新成","文稿彙整／游夙君","2021.07.10","道德經第十五章：","System.Object[]"
"G:\我的雲端硬碟\氣機導引\電子報新版網頁\各期電子報\202107\Gmail\2107-5香之物語.docx","202107","review","needs-confirmation","legacy-heading-suggestion","導引香道","紅樓回首 似夢","","2021.07.10","現代人防疫，口罩酒精不離口與手；中國古代人防疫，隨身帶著香囊，如同端午節的香包一樣，祛惡氣避邪穢。香料源於藥典，除了改善氣味外，還有身心醫療功能，因此古籍香譜都有記載。前兩年熱門的清宮劇《如懿傳》，清宮裡的几案上總是放著香爐，周迅主演的如懿（嫻妃最後成了皇后）被宮鬥搞得頭暈鼻塞的，有嬪妃建議她點醒腦的藏香，她撫著黑漆漆的沉水香說：「我就是偏愛沉水香的味道，沉香如定石，如果心能像沉水香一般，外邊再紛亂，也就不怕了。」除了把內心沉靜的如懿比喻成沉香，愈苦難受傷愈堅強芬芳外，從香爐到薰香、品香，清皇宮貴族用香普遍可見一般。","System.Object[]"
"G:\我的雲端硬碟\氣機導引\電子報新版網頁\各期電子報\202107\Gmail\2107-3-3洪于婷.docx","202107","review","needs-confirmation","legacy-heading-suggestion","練功雜談","之三- 終於有體力可以隨心所想","洪于婷","2021.07.10","我是很平凡的上班族，生活就只有家庭與公司，非常簡單。但是隨著年紀愈來愈大，體力也愈來愈不好，加上對家裡的清潔度總是很執著，常搞到頭痛，累到想吐。","System.Object[]"
"G:\我的雲端硬碟\氣機導引\電子報新版網頁\各期電子報\202107\Gmail\2107-2-4林碧珠.docx","202107","review","needs-confirmation","legacy-heading-suggestion","藉疫修心","之四- 心安即是豐收處","林碧珠","2021.07.10","冠狀病毒來勢洶洶，驟然打亂大家的生活。有些人面臨死亡、家庭破碎，更多的人頓時失去經濟來源，對不可預知的未來忐忑不安。感恩氣機導引多年來給予身心靈方面的鍛鍊，讓我們此時能安住心，並未因嚴峻的疫情感到惶恐，知道正是閉關修練的好時機。","System.Object[]"
"G:\我的雲端硬碟\氣機導引\電子報新版網頁\各期電子報\202107\Gmail\2107-2-1洪明美.docx","202107","review","needs-confirmation","legacy-heading-suggestion","藉疫修心","之一- 80老人，安住在一爐香、一縷煙⋯⋯","洪明美","2021.07.10","有人問我：為什麼年過八十還能身體硬朗耳聰目明？當她知道我除了打理一家老小生活起居，還能每週挪出四、五個時段練功、品香及畫畫，直呼不可思議。這個年齡不是都窩在家看電視嗎？仔細想想，除了和我成長背景有關之外，還因為我是東醫老人。","System.Object[]"
"G:\我的雲端硬碟\氣機導引\電子報新版網頁\各期電子報\202107\Gmail\2107-4-2余安邦.docx","202107","review","needs-confirmation","legacy-heading-suggestion","導引香道","之一- 迷失於品香與哲學之間，或者之外","余安邦","2021.07.10","追問存在是因為存在面臨著失落的威脅，","System.Object[]"
"G:\我的雲端硬碟\氣機導引\電子報新版網頁\各期電子報\202107\Gmail\2107-4-1導引香道.docx","202107","review","needs-confirmation","legacy-heading-suggestion","導引香道","聽其氣而知其道","","2021.07.10","文稿彙整／識香課整理小組","System.Object[]"
"G:\我的雲端硬碟\氣機導引\電子報新版網頁\各期電子報\202107\Gmail\2107-3-2秋泓.docx","202107","review","needs-confirmation","legacy-heading-suggestion","練功雜談","之二- 膝頭，你好嗎！","秋泓","2021.07.10","膝頭（客家話）就是膝蓋。","System.Object[]"
